FlowSQLId,FlowId,DatabaseTypeId,MinVersion,MaxVersion,SQLText,SSIS_SQLText
1,1,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_Application]
           ([Application_Id]
           ,[Version]
           ,[Name]
           ,[Description]
           ,[AuthenticationContext]
           ,[ApplicationType]
           ,[ControllerContext]
           ,[DefaultSequence]
           ,[LoginSequence]
           ,[Locator]
           ,[IsExternal]
           ,[IsDefault]
           ,[IsHmc]
           ,[IsBaselineHourly]
           ,[Client_Id]
           ,[Role_Id]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[ApplicationCategory]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])

	SELECT
		APPLICATION_ID
		, VERSION
		, NAME
		, DESCRIPTION
		, AUTHENTICATIONCONTEXT
		, APPLICATIONTYPE
		, CONTROLLERCONTEXT
		, DEFAULTSEQUENCE
		, LOGINSEQUENCE
		, LOCATOR
		, ISEXTERNAL
		, ISDEFAULT
		, NULL AS ISHMC /* REMOVED FOR 8.5 */
		, NULL AS ISBASELINEHOURLY /* REMOVED FOR 8.5 */
		, CLIENT_ID
		, ROLE_ID
		,DATECREATED
		,DATELASTMODIFIED
		, CREATEDBY
		, LASTMODIFIEDBY
		,APPLICATIONCATEGORY,
		 <BATCHDATE> as ExtractDate,
		 <BATCHDATE> as BatchDate,
		 <SOURCESKEY> as SourceSkey

	FROM OPENQUERY( <LINKNAME> , N'
		SELECT
			APPLICATION_ID
			, VERSION
			, NAME
			, DESCRIPTION
			, AUTHENTICATIONCONTEXT
			,APPLICATIONTYPE
			, CONTROLLERCONTEXT
			, DEFAULTSEQUENCE
			, LOGINSEQUENCE
			, LOCATOR
			, ISEXTERNAL
			, ISDEFAULT
			, NULL AS ISHMC /* REMOVED FOR 8.5 */
			, NULL AS ISBASELINEHOURLY /* REMOVED FOR 8.5 */
			, CLIENT_ID
			, ROLE_ID
			,TO_CHAR(DATECREATED,''YYYY-MM-DD HH24:MI:SS'') AS DATECREATED
			,TO_CHAR(DATELASTMODIFIED,''YYYY-MM-DD HH24:MI:SS'') AS DATELASTMODIFIED
			, CREATEDBY
			, LASTMODIFIEDBY
			,APPLICATIONCATEGORY
		FROM APPLICATION
		WHERE 
		(
		(DateLastModified >= <FROMDATE_Q> )
		 )
		') as a","SELECT		
application_id, 
version, 
name, 
description, 
authenticationcontext, 
applicationtype, 
controllercontext, 
defaultsequence, 
loginsequence, 
locator, 
isexternal, 
isdefault, 
client_id, 
role_id, 
CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,  
createdby, 
lastmodifiedby, 
applicationcategory, 
<BATCHDATE> as ExtractDate, 
<BATCHDATE> as BatchDate, 
<SOURCESKEY> as SourceSkey
FROM application 
WHERE (datelastmodified >= <FROMDATE_Q>)"
2,2,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_Application_Locale]
		   ([application_id]
		   ,[locale_id]
		   ,[ExtractDate]
		   ,[BatchDate]
		   ,[SourceSkey])
	select application_id
		,Locale_id
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey
	FROM OPENQUERY(<LINKNAME>, N'
		select application_id
		,Locale_id
		FROM Application_Locale
		') as a","SELECT		application_id, 
				locale_id, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM application_locale "
3,3,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_Availability]
           ([Availability_Id]
           ,[Version]
           ,[StartDate]
           ,[WorkPreference]
           ,[MondayStartTime]
           ,[MondayEndTime]
           ,[TuesdayStartTime]
           ,[TuesdayEndTime]
           ,[WednesdayStartTime]
           ,[WednesdayEndTime]
           ,[ThursdayStartTime]
           ,[ThursdayEndTime]
           ,[FridayStartTime]
           ,[FridayEndTime]
           ,[SaturdayStartTime]
           ,[SaturdayEndTime]
           ,[SundayStartTime]
           ,[SundayEndTime]
           ,[CantWork]
           ,[CantWorkDetail]
           ,[WillWorkHolidays]
           ,[WillWorkWeekends]
           ,[WillWorkOvertime]
           ,[WillWorkEvenings]
           ,[WillWorkOvernight]
           ,[WillWorkExtraWork]
           ,[HoursPerWeek]
           ,[Document_Id]
           ,[CustomField_Id]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	SELECT AVAILABILITY_ID
	   ,VERSION
	   ,STARTDATE
	   ,WORKPREFERENCE
	   ,MONDAYSTARTTIME
	   ,MONDAYENDTIME
	   ,TUESDAYSTARTTIME
	   ,TUESDAYENDTIME
	   ,WEDNESDAYSTARTTIME
	   ,WEDNESDAYENDTIME
	   ,THURSDAYSTARTTIME
	   ,THURSDAYENDTIME
	   ,FRIDAYSTARTTIME
	   ,FRIDAYENDTIME
	   ,SATURDAYSTARTTIME
	   ,SATURDAYENDTIME
	   ,SUNDAYSTARTTIME
	   ,SUNDAYENDTIME
	   ,CANTWORK
	   ,CANTWORKDETAIL
	   ,WILLWORKHOLIDAYS
	   ,WILLWORKWEEKENDS
	   ,WILLWORKOVERTIME
	   ,WILLWORKEVENINGS
	   ,WILLWORKOVERNIGHT
	   ,WILLWORKEXTRAWORK
	   ,HOURSPERWEEK
	   ,DOCUMENT_ID
	   ,CUSTOMFIELD_ID
	   ,DATECREATED
	   ,DATELASTMODIFIED
	   ,CREATEDBY
	   ,LASTMODIFIEDBY
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey
	FROM OPENQUERY(<LINKNAME>, N'
		SELECT AVAILABILITY_ID
		   ,VERSION
		   ,TO_CHAR(STARTDATE,''YYYY-MM-DD HH24:MI:SS'') AS STARTDATE
		   ,WORKPREFERENCE
		   ,MONDAYSTARTTIME
		   ,MONDAYENDTIME
		   ,TUESDAYSTARTTIME
		   ,TUESDAYENDTIME
		   ,WEDNESDAYSTARTTIME
		   ,WEDNESDAYENDTIME
		   ,THURSDAYSTARTTIME
		   ,THURSDAYENDTIME
		   ,FRIDAYSTARTTIME
		   ,FRIDAYENDTIME
		   ,SATURDAYSTARTTIME
		   ,SATURDAYENDTIME
		   ,SUNDAYSTARTTIME
		   ,SUNDAYENDTIME
		   ,CANTWORK
		   ,CANTWORKDETAIL
		   ,WILLWORKHOLIDAYS
		   ,WILLWORKWEEKENDS
		   ,WILLWORKOVERTIME
		   ,WILLWORKEVENINGS
		   ,WILLWORKOVERNIGHT
		   ,WILLWORKEXTRAWORK
		   ,HOURSPERWEEK
		   ,DOCUMENT_ID
		   ,CUSTOMFIELD_ID
		   ,TO_CHAR(DATECREATED,''YYYY-MM-DD HH24:MI:SS'') AS DATECREATED
		   ,TO_CHAR(DATELASTMODIFIED,''YYYY-MM-DD HH24:MI:SS'') AS DATELASTMODIFIED
		   ,CREATEDBY
		   ,LASTMODIFIEDBY
		FROM AVAILABILITY
		WHERE
			(DateLastModified >= <FROMDATE_Q> )
		') as a","SELECT		availability_id, 
				version, 
				CONVERT(VARCHAR(19), startdate, 120) as startdate, 
				workpreference, 
				mondaystarttime, 
				mondayendtime, 
				tuesdaystarttime, 
				tuesdayendtime, 
				wednesdaystarttime, 
				wednesdayendtime, 
				thursdaystarttime, 
				thursdayendtime, 
				fridaystarttime, 
				fridayendtime, 
				saturdaystarttime, 
				saturdayendtime, 
				sundaystarttime, 
				sundayendtime, 
				cantwork, 
				cantworkdetail, 
				willworkholidays, 
				willworkweekends, 
				willworkovertime, 
				willworkevenings, 
				willworkovernight, 
				willworkextrawork, 
				hoursperweek, 
				document_id, 
				customfield_id, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
			    CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified, 
				createdby, 
				lastmodifiedby, 
				availabilitybits,
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM availability 
	 WHERE (datelastmodified >= <FROMDATE_Q>)"
4,4,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_Client]
           ([Client_Id]
           ,[Version]
           ,[DaysApplicationActive]
           ,[DAYSAPPLICATIONEXCLUSIVE]
           ,[MILESSEARCHZIPCODE]
           ,[NAME]
           ,[DESCRIPTION]
           ,[CITY]
           ,[STATE]
           ,[COUNTRY]
           ,[ZIPCODE]
           ,[ADDRESS]
           ,[WOTCPROVIDER]
           ,[INLINEEMAIL]
           ,[EMAILFULLADR]
           ,[WEBGRADING]
           ,[WEBAPPTIMEOUT]
           ,[QUESTIONSPERPAGE]
           ,[WEBSAVE]
           ,[MAXLOGINATTEMPTS]
           ,[LOCKOUTDURATION]
           ,[FAILEDLOGINRESETINTERVAL]
           ,[EPREDIX]
           ,[HMCTIMEOUT]
           ,[NONHIREABLEDURATION]
           ,[MULTIPOSITION]
           ,[DATECREATED]
           ,[DATELASTMODIFIED]
           ,[CREATEDBY]
           ,[LASTMODIFIEDBY]
           ,[PHONE]
           ,[FAXNUMBER]
           ,[CUSTOMERID]
           ,[PERMISSION_ID]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	SELECT CLIENT_ID, 
		VERSION, 
		DAYSAPPLICATIONACTIVE, 
		DAYSAPPLICATIONEXCLUSIVE, 
		MILESSEARCHZIPCODE, 
		NAME, 
		DESCRIPTION,
		CITY,
		STATE,
		COUNTRY,
		ZIPCODE, 
		ADDRESS,
		NULL as WOTCPROVIDER,
		INLINEEMAIL,
		EMAILFULLADR,
		WEBGRADING, 
		WEBAPPTIMEOUT,
		NULL as QUESTIONSPERPAGE,
		WEBSAVE,
		MAXLOGINATTEMPTS,
		LOCKOUTDURATION,
		FAILEDLOGINRESETINTERVAL, 
		NULL as EPREDIX,
		NULL as HMCTIMEOUT,
		NULL as NONHIREABLEDURATION,
		NULL as MULTIPOSITION,
		DATECREATED,
		DATELASTMODIFIED,
		CREATEDBY,
		LASTMODIFIEDBY,
		PHONE,
		FAXNUMBER, 
		CUSTOMERID,
		PERMISSION_ID,
		<BATCHDATE> as ExtractDate,
		<BATCHDATE> as BatchDate,
		<SOURCESKEY> as SourceSkey

	FROM OPENQUERY(<LINKNAME>, N'
		SELECT CLIENT_ID, 
			VERSION, 
			DAYSAPPLICATIONACTIVE, 
			DAYSAPPLICATIONEXCLUSIVE, 
			MILESSEARCHZIPCODE, 
			NAME, 
			DESCRIPTION,
			CITY,
			STATE,
			COUNTRY,
			ZIPCODE, 
			ADDRESS,
			NULL as WOTCPROVIDER,
			INLINEEMAIL,
			EMAILFULLADR,
			WEBGRADING, 
			WEBAPPTIMEOUT,
			NULL as QUESTIONSPERPAGE,
			WEBSAVE,
			MAXLOGINATTEMPTS,
			LOCKOUTDURATION,
			FAILEDLOGINRESETINTERVAL, 
			NULL as EPREDIX,
			NULL as HMCTIMEOUT,
			NULL as NONHIREABLEDURATION,
			NULL as MULTIPOSITION,
			TO_CHAR(DATECREATED,''YYYY-MM-DD HH24:MI:SS'') AS DATECREATED,
			TO_CHAR(DATELASTMODIFIED,''YYYY-MM-DD HH24:MI:SS'') AS DATELASTMODIFIED,
			CREATEDBY,
			LASTMODIFIEDBY,
			PHONE,
			FAXNUMBER, 
			CUSTOMERID,
			PERMISSION_ID
		FROM CLIENT	
		WHERE 
			(DateLastModified >= <FROMDATE_Q> )
		') as a","SELECT	client_id, 
		version, 
		daysapplicationexclusive, 
		milessearchzipcode, 
		name, 
		description, 
		city, 
		state, 
		country, 
		zipcode, 
		address, 
		inlineemail, 
		emailfulladr, 
		webgrading, 
		webapptimeout, 
		websave, 
		maxloginattempts, 
		lockoutduration, 
		failedloginresetinterval, 
		CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
		CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified, 
		createdby, 
		lastmodifiedby, 
		phone, 
		faxnumber, 
		customerid, 
		permission_id, 
		fein, 
		CONVERT(VARCHAR(19), legalholdstartdate, 120) as legalholdstartdate, 
		CONVERT(VARCHAR(19), legalholdenddate, 120) as legalholdenddate, 
		CONVERT(VARCHAR(19), deactivationdate, 120) as deactivationdate, 
		customertype, 
		<BATCHDATE> as ExtractDate, 
		<BATCHDATE> as BatchDate, 
		<SOURCESKEY> as SourceSkey 
	 FROM client 
	 WHERE (datelastmodified >= <FROMDATE_Q>)"
5,5,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_DisplaySetDefinition]
           ([DisplaySetDefinition_Id]
           ,[Version]
           ,[Name]
           ,[LogicalLabel_Id]
           ,[LogicalQualifier_Id]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	select 
		displaysetdefinition_id
		,version
		,name
		,label_id
		,qual_id
		,datecreated
		,DateLastModified
		,CreatedBy
		,LastModifiedBy
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey
	FROM OPENQUERY( <LINKNAME> , N'
		select 
			displaysetdefinition_id
			,version
			,name
			,label_id
			,qual_id
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(DateLastModified,''YYYY-MM-DD HH24:MI:SS'') AS DateLastModified
			,CreatedBy
			,LastModifiedBy
		FROM displaysetdefinition
	') as a","SELECT		displaysetdefinition_id, 
				version, 
				name, 
				label_id, 
				qual_id, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,
				createdby, 
				lastmodifiedby, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM displaysetdefinition"
6,6,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_DisplaySetValue]
           ([DisplaySetValue_Id]
           ,[Version]
           ,[DisplaySetDefinition_Id]
           ,[Name]
           ,[RahDataValue]
           ,[IsActive]
           ,[EquestValue]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModfiedBy]
           ,[LogicalLabel_Id]
           ,[LogicalQualifier_Id]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	select
		DisplaySetValue_id
		,Version
		,Definition_Id
		,Name
		,NULL as RahDataValue /* Removed for 8.5 */
		,IsActive
		,NULL as EquestValue /* Removed for 8.5 */
		,datecreated
		,DateLastModified
		,CreatedBy
		,LastModifiedBy
		,Label_id
		,Qual_id
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey

	FROM OPENQUERY( <LINKNAME> , N'
		select
			DisplaySetValue_id
			,Version
			,Definition_Id
			,Name
			,NULL as RahDataValue /* Removed for 8.5 */
			,IsActive
			,NULL as EquestValue /* Removed for 8.5 */
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(DateLastModified,''YYYY-MM-DD HH24:MI:SS'') AS DateLastModified
			,CreatedBy
			,LastModifiedBy
			,Label_id
			,Qual_id
		FROM DisplaySetValue
	') as a","SELECT		displaysetvalue_id, 
				version, 
				definition_id, 
				name, 
				isactive, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,
				createdby, 
				lastmodifiedby, 
				label_id, 
				qual_id, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM displaysetvalue"
7,7,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_DisplayText]
           ([DisplayText_Id]
           ,[Version]
           ,[Name]
           ,[DisplayType]
           ,[IsQualifierActive]
           ,[LogicalLabel_Id]
           ,[LogicalQualifier_Id]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	select displaytext_id
		,version
		,name
		,displaytype
		,isqualifieractive
		,label_id
		,qual_id
		,datecreated
		,datelastmodified
		,Createdby
		,lastmodifiedby
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey

	FROM OPENQUERY( <LINKNAME> , N'
		select displaytext_id
			,version
			,name
			,displaytype
			,isqualifieractive
			,label_id
			,qual_id
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(datelastmodified,''YYYY-MM-DD HH24:MI:SS'') AS datelastmodified
			,Createdby
			,lastmodifiedby
		FROM displaytext
	') as a","SELECT		displaytext_id, 
				version, 
				name, 
				displaytype, 
				isqualifieractive, 
				label_id, 
				qual_id, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,
				createdby, 
				lastmodifiedby, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM displaytext"
8,8,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_Document]
           ([Document_Id]
           ,[version]
           ,[DocumentName]
           ,[FileName]
           ,[ContentType]
           ,[DocumentType]
           ,[TextSearchDocId]
           ,[TextSearchLastRegistered]
           ,[JobBid_Id]
           ,[Person_Id]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])

	SELECT document_id
		,version
		,documentname
		,filename
		,contenttype
		,documenttype
		,textsearchdocid 
		,textsearchlastregistered
		,jobbid_id
		,person_id 
		,datecreated
		,DateLastModified
		,createdby
		,lastmodifiedby
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey

	FROM OPENQUERY(<LINKNAME>, N'
		SELECT document_id
			,version
			,documentname
			,filename
			,contenttype
			,documenttype
			,textsearchdocid 
			,TO_CHAR(textsearchlastregistered,''YYYY-MM-DD HH24:MI:SS'') AS textsearchlastregistered
			,jobbid_id
			,person_id 
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(DateLastModified,''YYYY-MM-DD HH24:MI:SS'') AS DateLastModified
			,createdby
			,lastmodifiedby
		FROM document
		WHERE 
			(DateLastModified >= <FROMDATE_Q> )
		') as a","SELECT		document_id, 
				version, 
				documentname, 
				filename, 
				contenttype, 
				documenttype, 
				textsearchdocid,
				CONVERT(VARCHAR(19), textsearchlastregistered, 120) as textsearchlastregistered, 
				jobbid_id, 
				person_id, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,
				createdby, 
				lastmodifiedby, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM document 
	 WHERE (datelastmodified >= <FROMDATE_Q>)"
9,9,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_EEO]
           ([EEO_Id]
           ,[version]
           ,[Gender]
           ,[Ethnicity]
           ,[Race]
           ,[VeteranStatus]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[Document_Id]
           ,[CustomField_Id]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	SELECT eeo_id
		,version
		,gender
		,ethnicity
		,race
		,veteranstatus
		,datecreated
		,DateLastModified
		,createdby
		,lastmodifiedby
		,document_id
		,customfield_id
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey
	FROM OPENQUERY( <LINKNAME> , N'
		SELECT eeo_id
			,version
			,gender
			,ethnicity
			,race
			,veteranstatus
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(DateLastModified,''YYYY-MM-DD HH24:MI:SS'') AS DateLastModified
			,createdby
			,lastmodifiedby
			,document_id
			,customfield_id
		FROM eeo
		WHERE 
			(DateLastModified >= <FROMDATE_Q> )
	') as a","SELECT		eeo_id, 
				version, 
				gender, 
				ethnicity, 
				race, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified, 
				createdby, 
				lastmodifiedby, 
				document_id, 
				customfield_id, 
				mgrEthnicity,
				mgrRace,
				mgrGender,
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM eeo 
	 WHERE (datelastmodified >= <FROMDATE_Q>)"
10,10,2,8.5,999,"INSERT INTO [DataWarehouse].[Stage].[aTao_FlowActivation]
           ([FlowActivation_ID]
           ,[Version]
           ,[FlowName]
           ,[IsActive]
           ,[OrderNum]
           ,[DateCreated]
           ,[DateLastModified]
           ,[CreatedBy]
           ,[LastModifiedBy]
           ,[IsRestartable]
           ,[MaxExecutions]
           ,[BusinessRuleName]
           ,[HiringProcess_ID]
           ,[ExtractDate]
           ,[BatchDate]
           ,[SourceSkey])
	select flowactivation_id
		,version
		,flowname
		,isactive
		,order_num
		,datecreated
		,datelastmodified
		,Createdby
		,lastmodifiedby
		,isrestartable
		,maxexecutions
		,businessrulename
		,hiringprocess_id
		,<BATCHDATE> as ExtractDate
		,<BATCHDATE> as BatchDate
		,<SOURCESKEY> as SourceSkey
	FROM OPENQUERY( <LINKNAME> , N'
		select flowactivation_id
			,version
			,flowname
			,isactive
			,order_num
			,TO_CHAR(datecreated,''YYYY-MM-DD HH24:MI:SS'') AS datecreated
			,TO_CHAR(datelastmodified,''YYYY-MM-DD HH24:MI:SS'') AS datelastmodified
			,Createdby
			,lastmodifiedby
			,isrestartable
			,maxexecutions
			,businessrulename
			,hiringprocess_id
		FROM flowactivation
		WHERE 
			(DateCreated >= <FROMDATE_Q>  or DateLastModified >= <FROMDATE_Q> )
		') as a","SELECT		flowactivation_id, 
				version, 
				flowname, 
				isactive, 
				order_num, 
				CONVERT(VARCHAR(19), datecreated, 120) as datecreated, 
				CONVERT(VARCHAR(19), datelastmodified, 120) as datelastmodified,  
				createdby, 
				lastmodifiedby, 
				isrestartable, 
				maxexecutions, 
				businessrulename, 
				hiringprocess_id, 
				<BATCHDATE> as ExtractDate, 
				<BATCHDATE> as BatchDate, 
				<SOURCESKEY> as SourceSkey 
	 FROM flowactivation 
	 WHERE (datecreated >= <FROMDATE_Q>) OR (datelastmodified >= <FROMDATE_Q>)"
